serviceName,partitionName,activationCriteria,enabled,maxActivationDurationHours,approverName,approverId,stepType,step
"facp","facp_developer_role",,false,,"null","null","null","null"
"facp","facp_developer_role_test",,false,,"null","null","null","null"
"facp","devops_superuser",,false,,"null","null","null","null"
"facp","service_comp_dev",,false,,"null","null","null","null"
"facp","fre_fabsdev_ssh_root",,false,,"null","null","null","null"
"facp","saasfaprod1_tenancy_access",,false,,"null","null","null","null"
"facp","faaas_aiops",,false,,"null","null","null","null"
"facp","deployment_noncommercial",,false,,"null","null","null","null"
"facp","cp_ssh_login_nonprod",,false,,"null","null","null","null"
"facp","fre_com_ssh_login",,false,,"null","null","null","null"
"facp","fieldsvc_bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","service_comp_partners_nonprod",,false,,"null","null","null","null"
"facp","featureflag_mgmt_noncommercial",,false,,"null","null","null","null"
"facp","jit_faeops_ssh_root",,false,,"null","null","null","null"
"facp","fre_epd_ssh_login",,false,,"null","null","null","null"
"facp","pod_ssh_root_nonprod",,false,,"null","null","null","null"
"facp","pod_move_prod",,false,,"null","null","null","null"
"facp","facp_security_operations_role",,false,,"null","null","null","null"
"facp","jit_jpmc_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","facp_oci_dashboard_viewer",,false,,"null","null","null","null"
"facp","facp-pod-weil_role",,false,,"null","null","null","null"
"facp","facp_volume_resize_prod_role",,false,,"null","null","null","null"
"facp","jit_ubs_ssh_root","OWNER_GROUP_APPROVAL",true,24,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"facp","certificate_management_role",,false,,"null","null","null","null"
"facp","facp-pod-vramiset_role",,false,,"null","null","null","null"
"facp","prod-admin","JUSTIFICATION",true,24,"null","null","null","null"
"facp","jit_oal_ewel_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","fre_devqa_ssh_root",,false,,"null","null","null","null"
"facp","pod_ssh_login_noncommercial",,false,,"null","null","null","null"
"facp","facp_customer_support_role",,false,,"null","null","null","null"
"facp","fre_epd_ssh_root",,false,,"null","null","null","null"
"facp","service_comp_sre",,false,,"null","null","null","null"
"facp","facp_orgs_subscription_role",,false,,"null","null","null","null"
"facp","facp-pod-anbhatt_role",,false,,"null","null","null","null"
"facp","dbmove_nonprod",,false,,"null","null","null","null"
"facp","large_essbase_support_role",,false,,"null","null","null","null"
"facp","fsi_attribute_maintainers",,false,,"null","null","null","null"
"facp","jit_ubs_ssh_login","OWNER_GROUP_APPROVAL",true,72,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"facp","featureflag_mgmt_nonprod",,false,,"null","null","null","null"
"facp","faaas-dr-provisioning-role",,false,,"null","null","null","null"
"facp","fre_arusch_ssh_login",,false,,"null","null","null","null"
"facp","faeops_ssh_root_nonprod",,false,,"null","null","null","null"
"facp","rules_engine_manage_prod_role",,false,,"null","null","null","null"
"facp","capacity_reservation_deployer",,false,,"null","null","null","null"
"facp","fre_builddev_ssh_root",,false,,"null","null","null","null"
"facp","facp_boot_volume_manager_role",,false,,"null","null","null","null"
"facp","workflow_revival_prod_role",,false,,"null","null","null","null"
"facp","schedule_activity_nonprod_role",,false,,"null","null","null","null"
"facp","saas_cloud_security","JUSTIFICATION",true,24,"null","null","null","null"
"facp","notification_approvers_role",,false,,"null","null","null","null"
"facp","disaster_recovery_nonprod_role",,false,,"null","null","null","null"
"facp","pod_ssh_login_nonprod",,false,,"null","null","null","null"
"facp","tenancy_viewer",,false,,"null","null","null","null"
"facp","general-access",,false,,"null","null","null","null"
"facp","facp_preflight_support_role",,false,,"null","null","null","null"
"facp","facp_limits_admin_commercial",,false,,"null","null","null","null"
"facp","break-glass",,false,,"null","null","null","null"
"facp","facp-pod-yingao_role",,false,,"null","null","null","null"
"facp","facp_datamasking_log_viewer",,false,,"null","null","null","null"
"facp","facp_rats_ondemand_users",,false,,"null","null","null","null"
"facp","facp_template_upload_mgmt_role",,false,,"null","null","null","null"
"facp","fre_ssh_root",,false,,"null","null","null","null"
"facp","hcp_bitbucket_access",,false,,"null","null","null","null"
"facp","jit_oal_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","dbmove_prod","JUSTIFICATION",true,168,"null","null","ApprovalByOwner",1
"facp","cp_ssh_login_commercial",,false,,"null","null","null","null"
"facp","cp_ssh_root_nonprod",,false,,"null","null","null","null"
"facp","cp_ssh_login_noncommercial",,false,,"null","null","null","null"
"facp","facp_bitbucket_admin_role",,false,,"null","null","null","null"
"facp","jit_facp_delete_environment","JUSTIFICATION",true,24,"null","null","null","null"
"facp","facp_dev_only_role",,false,,"null","null","null","null"
"facp","devops_limited_break_glass",,false,,"null","null","null","null"
"facp","devops_viewer",,false,,"null","null","null","null"
"facp","biapps_ssh_login",,false,,"null","null","null","null"
"facp","jit_jpmc_ssh_login","JUSTIFICATION",true,72,"null","null","null","null"
"facp","fre_dbqa_ssh_root",,false,,"null","null","null","null"
"facp","fre_arusch_ssh_root",,false,,"null","null","null","null"
"facp","facp-pod-aayyasam_role",,false,,"null","null","null","null"
"facp","jit_tenancyadmin_noncommercial","JUSTIFICATION",true,24,"null","null","null","null"
"facp","faeops_ssh_login_nonprod",,false,,"null","null","null","null"
"facp","bitech_ssh_login",,false,,"null","null","null","null"
"facp","pod_ssh_tunnel_commercial",,false,,"null","null","null","null"
"facp","hcp_feature_flag_manage_role",,false,,"null","null","null","null"
"facp","cdp_bg_oma_readwrite_prod",,false,,"null","null","null","null"
"facp","facp_set_default_release_role",,false,,"null","null","null","null"
"facp","jit_cp_ssh_root_noncommercial","JUSTIFICATION",true,168,"null","null","null","null"
"facp","jit_ faeops _ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"facp","ocsc_ops_role",,false,,"null","null","null","null"
"facp","jit_cp_ssh_root_commercial",,false,,"null","null","null","null"
"facp","notification_viewer_prod_role",,false,,"null","null","null","null"
"facp","saas_region_build_prod_role",,false,,"null","null","null","null"
"facp","jit_tenancyadmin_commercial","JUSTIFICATION",true,168,"null","null","null","null"
"facp","facp_deployment_idc_engg_role",,false,,"null","null","null","null"
"facp","fre_hwm_ssh_root",,false,,"null","null","null","null"
"facp","fre_qa_ssh_root",,false,,"null","null","null","null"
"facp","bats_prepare_nonprod",,false,,"null","null","null","null"
"facp","fsre_compute_reboot_prod_role",,false,,"null","null","null","null"
"facp","facp_prm_prod",,false,,"null","null","null","null"
"facp","cdp_bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","limits_capacity_manage_role",,false,,"null","null","null","null"
"facp","fre_builddev_ssh_login",,false,,"null","null","null","null"
"facp","slaps_role",,false,,"null","null","null","null"
"facp","fre_qa_ssh_login",,false,,"null","null","null","null"
"facp","chaos_ops_testing",,false,,"null","null","null","null"
"facp","pod_ssh_root_demo",,false,,"null","null","null","null"
"facp","fieldsvc_bg_oma_readwrite_prod",,false,,"null","null","null","null"
"facp","spectra_service_owners_prod",,false,,"null","null","null","null"
"facp","fre_maint_ssh_root",,false,,"null","null","null","null"
"facp","adp_devops",,false,,"null","null","null","null"
"facp","jit_pod_ssh_root_noncommercial","JUSTIFICATION",true,24,"null","null","null","null"
"facp","preflight_ssh_login",,false,,"null","null","null","null"
"facp","bg_oma_readonly_prod",,false,,"null","null","null","null"
"facp","facp_protected_vault_read_role",,false,,"null","null","null","null"
"facp","facp_delete_beta_pintnext_pods",,false,,"null","null","null","null"
"facp","facp_integ_test_role",,false,,"null","null","null","null"
"facp","facp-pod-csivasam_role",,false,,"null","null","null","null"
"facp","fre_hwm_ssh_login",,false,,"null","null","null","null"
"facp","pod_ssh_login_commercial",,false,,"null","null","null","null"
"facp","deployment_commercial",,false,,"null","null","null","null"
"facp","facp_compute_reservation_role","JUSTIFICATION",true,24,"null","null","null","null"
"facp","facp_sub_hostclass_beta_role",,false,,"null","null","null","null"
"facp","faaas_console_developer",,false,,"null","null","null","null"
"facp","restricted_maintenance_role",,false,,"null","null","null","null"
"facp","hcp_sre",,false,,"null","null","null","null"
"facp","fre_ssh_login",,false,,"null","null","null","null"
"facp","faeops_pod_development_role",,false,,"null","null","null","null"
"facp","bg_oma_admin_prod",,false,,"null","null","null","null"
"facp","jit_faeops_ssh_login",,false,,"null","null","null","null"
"facp","sre_noncommercial",,false,,"null","null","null","null"
"facp","facp_saas_infra_ops",,false,,"null","null","null","null"
"facp","biapps_ssh_root",,false,,"null","null","null","null"
"facp","facp_hcp_partner_role",,false,,"null","null","null","null"
"facp","facp-pod-tgyonjya_role",,false,,"null","null","null","null"
"facp","fre_fabsdev_ssh_login",,false,,"null","null","null","null"
"facp","facp_refresh_developer_role",,false,,"null","null","null","null"
"facp","bitech_ssh_root",,false,,"null","null","null","null"
"facp","capacity_reserve_noncommercial",,false,,"null","null","null","null"
"facp","facp-pod-yiyang_role",,false,,"null","null","null","null"
"facp","fre_ops_ssh_login",,false,,"null","null","null","null"
"facp","jit_oal_ssh_login","JUSTIFICATION",true,72,"null","null","null","null"
"facp","manage_oss_nonprod_role",,false,,"null","null","null","null"
"facp","sre_nonprod",,false,,"null","null","null","null"
"facp","release_manager_commercial",,false,,"null","null","null","null"
"facp","facp_cre_role",,false,,"null","null","null","null"
"facp","facp_release_management_beta",,false,,"null","null","null","null"
"facp","pod_ssh_tunnel_nonprod",,false,,"null","null","null","null"
"facp","facp_lcm_access_role",,false,,"null","null","null","null"
"facp","bg_oma_readwrite_prod",,false,,"null","null","null","null"
"facp","temp_test_tenancy_access_role",,false,,"null","null","null","null"
"facp","tenancy_limit_increase_request",,false,,"null","null","null","null"
"facp","jit_pod_ssh_root_commercial","JUSTIFICATION",true,168,"null","null","null","null"
"facp","facp_manage_pod_instance_role",,false,,"null","null","null","null"
"facp","release_manager_noncommercial",,false,,"null","null","null","null"
"facp","fre_com_ssh_root",,false,,"null","null","null","null"
"facp","fre_ops_ssh_root",,false,,"null","null","null","null"
"facp","sre_demo",,false,,"null","null","null","null"
"facp","preflight_ssh_root",,false,,"null","null","null","null"
"facp","fre_dbqa_ssh_login",,false,,"null","null","null","null"
"facp","facp_prm_nonprod",,false,,"null","null","null","null"
"facp","facp_prm_developer",,false,,"null","null","null","null"
"facp","subscription_management_role",,false,,"null","null","null","null"
"facp","fre_devqa_ssh_login",,false,,"null","null","null","null"
"facp","facp-pod-srande_role",,false,,"null","null","null","null"
"facp","oal_ewel_ssh_login",,false,,"null","null","null","null"
"facp","fre_maint_ssh_login",,false,,"null","null","null","null"
"facp","non_prod_flock_management_role",,false,,"null","null","null","null"
"facp","sre_commercial",,false,,"null","null","null","null"
"facp","facp_delete_non_prod_env_role",,false,,"null","null","null","null"
"facp","pod_move_nonprod",,false,,"null","null","null","null"
"facp","disaster_recovery_prod_role",,false,,"null","null","null","null"
"facp","pod_ssh_tunnel_noncommercial",,false,,"null","null","null","null"
"facp","featureflag_mgmt_commercial",,false,,"null","null","null","null"
"facp","pod_ssh_login_demo",,false,,"null","null","null","null"
"facp","fre_sust_ssh_login",,false,,"null","null","null","null"
"facp","fre_sust_ssh_root",,false,,"null","null","null","null"
"adp","faaas_soe_api",,false,,"null","null","null","null"
"adp","jit_adp_cdp_runtime_ops",,false,,"null","null","null","null"
"adp","adp_region_build_role",,false,,"null","null","null","null"
"adp","adp_demo_sre_role",,false,,"null","null","null","null"
"adp","noncommercial_viewer",,false,,"null","null","null","null"
"adp","jit_security_tester",,false,,"null","null","null","null"
"adp","adp_data_safe_read_only",,false,,"null","null","null","null"
"adp","chaos_ops_testers",,false,,"null","null","null","null"
"adp","jit_adp_prod_dr_ops_role","JUSTIFICATION",true,168,"null","null","null","null"
"adp","adp_limits_admin_role",,false,,"null","null","null","null"
"adp","adp_cdp_runtime_ops",,false,,"null","null","null","null"
"adp","jit_jpmc_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"adp","adp_fusioncdp_ro",,false,,"null","null","null","null"
"adp","adp_saas_region_build_role",,false,,"null","null","null","null"
"adp","jit_prod_ssh_root_cp","JUSTIFICATION",true,72,"null","null","null","null"
"adp","adp_qa_ops_role",,false,,"null","null","null","null"
"adp","adp_adbs_datasafe",,false,,"null","null","null","null"
"adp","adp_restricted_access",,false,,"null","null","null","null"
"adp","adp_sre_role",,false,,"null","null","null","null"
"adp","jit_fsre_prod_access","JUSTIFICATION",true,12,"null","null","null","null"
"adp","jit_ubs_ssh_root","OWNER_GROUP_APPROVAL",true,24,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"adp","jit_oal_ewel_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"adp","adp_rods_runtime_ops",,false,,"null","null","null","null"
"adp","adp_scm_admin_role",,false,,"null","null","null","null"
"adp","adp_capacity_management_role",,false,,"null","null","null","null"
"adp","adp_customer_support_role",,false,,"null","null","null","null"
"adp","nonprod_ops",,false,,"null","null","null","null"
"adp","pint_ssh_dp",,false,,"null","null","null","null"
"adp","jit_gen1_demo_tenancy_admin","JUSTIFICATION",true,72,"null","null","null","null"
"adp","demo_ssh",,false,,"null","null","null","null"
"adp","jit_prod_access","JUSTIFICATION",true,168,"null","null","ApprovalByOwner",1
"adp","jit_noncommercial_ssh_root_cp","JUSTIFICATION",true,72,"null","null","null","null"
"adp","jit_ubs_ssh_login","OWNER_GROUP_APPROVAL",true,72,"FAaaS-Restricted-POD-JIT-L2-Approvers","fed890c2-6564-48bf-9f3a-9efa4d39366d","ApprovalByGroup",1
"adp","jit_adp_fsre_admin_bg","JUSTIFICATION",true,1,"null","null","null","null"
"adp","prod_ssh_login_cp",,false,,"null","null","null","null"
"adp","adp_capacity_planning_role",,false,,"null","null","null","null"
"adp","jit_noncommercial_admin",,false,,"null","null","null","null"
"adp","nonprod_ssh",,false,,"null","null","null","null"
"adp","adp_fa_runtime_ops",,false,,"null","null","null","null"
"adp","jit_commercial_admin","JUSTIFICATION",true,168,"null","null","null","null"
"adp","jit_oal_ssh_login","JUSTIFICATION",true,72,"null","null","null","null"
"adp","noncommercial_ssh_login_cp",,false,,"null","null","null","null"
"adp","adp_bb_ssh_viewer_role",,false,,"null","null","null","null"
"adp","adp_security_operations_role",,false,,"null","null","null","null"
"adp","jit_adp_rods_runtime_ops",,false,,"null","null","null","null"
"adp","adp_prod_deployment_role",,false,,"null","null","null","null"
"adp","adp_faas_saas_testing_role",,false,,"null","null","null","null"
"adp","adp_rods_fusion_ero",,false,,"null","null","null","null"
"adp","adp_developer_role",,false,,"null","null","null","null"
"adp","break-glass",,false,,"null","null","null","null"
"adp","adp_rods_fusion_ro",,false,,"null","null","null","null"
"adp","adp_scm_contributor_role",,false,,"null","null","null","null"
"adp","jit_noncommercial_ssh_root_dp","JUSTIFICATION",true,72,"null","null","null","null"
"adp","adp_prod_ops_mgr_delete_role",,false,,"null","null","null","null"
"adp","prod_ssh_login_dp",,false,,"null","null","null","null"
"adp","adp-refresh-devops",,false,,"null","null","null","null"
"adp","jit_noncommercial_ops","JUSTIFICATION",true,72,"null","null","null","null"
"adp","horizon_adp_access",,false,,"null","null","null","null"
"adp","jit_oal_ssh_root","JUSTIFICATION",true,24,"null","null","null","null"
"adp","adp_release_manager_role",,false,,"null","null","null","null"
"adp","adp_admin_role",,false,,"null","null","null","null"
"adp","adp_fusioncdp_ero",,false,,"null","null","null","null"
"adp","prod_ops",,false,,"null","null","null","null"
"adp","facp_datasafe_manage",,false,,"null","null","null","null"
"adp","oal_ewel_ssh_login",,false,,"null","null","null","null"
"adp","noncommercial_ssh_login_dp",,false,,"null","null","null","null"
"adp","adp_adbs_perf_hub",,false,,"null","null","null","null"
"adp","runbook-admin",,false,,"null","null","null","null"
"adp","adp_viewer_role",,false,,"null","null","null","null"
"adp","jit_prod_ssh_root_dp","JUSTIFICATION",true,72,"null","null","null","null"
"adp","jit_jpmc_ssh_login","JUSTIFICATION",true,72,"null","null","null","null"
"adp","jit_adp_fa_runtime_ops",,false,,"null","null","null","null"
